Year,"Australia ""Pure"" Polyarchy",Australianew eigencentrality,Austria Polyarchy,Austria Eigen,Canada Poly,Canada Eigen,Denmark Poly,Denmark Eigen,France Poly,France Eigen,Ireland Poly,Ireland Eigen,Netherlands Poly,Netherlands Eigne,Sweden Poly,Swden Eigen,Swiss Poly,Swiss Eigen,UK Poly,UK Eigen,US Poly,US Eigen
2005,21.474,13.4,,,21.918,16.1,17.863,16.1,12.047,11.1,20.750,100.0,23.235,13.4,11.191,16.1,18.149,13.4,18.967,13.4,18.849,13.4
2006,21.878,13.3,,,,,17.441,15.9,13.561,13.4,20.188,100.0,26.048,13.4,15.800,16.0,18.890,13.4,19.556,13.4,27.561,13.4
2007,19.081,17.1,19.524,17.1,23.626,17.1,17.494,17.1,12.154,17.1,22.950,100.0,24.914,17.1,12.257,17.1,20.874,17.1,20.343,17.1,22.557,17.1
2008,18.670,11.9,19.549,11.9,23.460,11.9,17.133,11.9,10.351,11.9,21.401,100.0,22.343,11.9,12.440,11.9,20.416,17.4,18.501,11.9,19.985,11.9
2009,18.835,17.6,17.494,17.7,22.313,17.7,18.003,17.7,9.283,17.7,20.761,100.0,21.890,17.7,13.317,17.7,19.265,17.7,16.109,20.7,19.697,17.7
2010,12.192,17.8,17.442,17.8,21.689,17.8,18.715,17.8,8.703,17.8,18.849,100.0,22.448,17.8,13.465,17.8,21.427,17.8,8.593,20.8,15.293,17.8
2011,13.132,17.5,17.567,17.5,20.166,17.5,14.754,17.5,5.338,14.9,13.086,100.0,21.240,17.5,13.437,17.5,16.145,17.5,7.056,20.4,14.760,17.5
2012,10.465,16.7,14.725,16.8,18.427,16.8,13.591,19.6,4.000,16.8,5.951,99.1,18.639,16.8,13.812,16.8,17.389,16.8,1.590,19.6,11.322,16.8
2013,17.362,22.0,18.061,27.0,20.539,26.0,17.821,28.0,3.200,23.0,17.095,93.9,24.779,27.0,15.516,27.0,19.263,26.0,11.679,26.0,19.900,26.0
2014,20.863,28.4,17.924,36.4,21.055,32.2,18.117,36.4,4.346,28.4,17.581,96.0,24.069,32.2,15.655,36.3,19.018,32.2,10.845,36.4,21.636,32.2
2015,18.743,13.5,18.056,18.7,21.033,15.9,21.087,18.5,4.710,15.9,27.896,100.0,27.035,15.9,17.017,15.9,24.614,15.9,17.614,18.7,23.910,13.6
